Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,76.0,16.0,3.3,546.0,Ghost Games,E10+
L.A. Noire: The Complete Edition,2011.0,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.03,0.25,83.0,28.0,7.9,903.0,Rockstar Leeds,M
Sid Meier's Civilization VI,2016.0,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25,88.0,81.0,7.3,684.0,Firaxis Games,E10+
Hitman: Absolution,2012.0,Action,Square Enix,0.03,0.17,0.0,0.04,0.24,79.0,26.0,7.0,1327.0,"Io Interactive, Nixxes Software",M
Homefront,2011.0,Shooter,THQ,0.11,0.1,0.0,0.03,0.24,70.0,36.0,5.5,531.0,Digital Extremes,M
BioShock 2,,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,88.0,36.0,8.0,1247.0,2K Marin,M
Total War: Attila,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,0.24,80.0,66.0,7.3,520.0,Creative Assembly,T
Metro 2033,2010.0,Shooter,THQ,0.0,0.19,0.0,0.05,0.24,81.0,40.0,8.1,1472.0,4A Games,M
Angry Birds,2011.0,Puzzle,Focus Home Interactive,0.0,0.18,0.0,0.05,0.24,,,7.3,19.0,"Rovio Mobile, Rovio Entertainment",E
DC Universe Online,2011.0,Role-Playing,Sony Online Entertainment,0.16,0.06,0.0,0.02,0.23,72.0,27.0,6.8,243.0,WBIE,T
XCOM 2,2016.0,Strategy,Take-Two Interactive,0.09,0.12,0.0,0.02,0.23,88.0,104.0,7.1,1221.0,Firaxis Games,T
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23,79.0,37.0,6.9,734.0,Ubisoft Montreal,M
Spec Ops: The Line,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.02,0.23,76.0,16.0,8.2,1237.0,Yager,M
Risen 2: Dark Waters,2012.0,Role-Playing,Deep Silver,0.0,0.19,0.0,0.03,0.22,69.0,51.0,5.6,751.0,Piranha Bytes,M
The Sims 4: Get Together,2015.0,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,16.0,7.3,117.0,Maxis,T
LEGO Harry Potter: Years 5-7,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Traveller's Tales,E10+
LEGO The Lord of the Rings,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22,80.0,6.0,8.2,127.0,TT Games,E10+
Dead Island,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22,80.0,24.0,6.8,1428.0,Techland,M
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.07,0.13,0.0,0.02,0.21,,,,,,
Star Wars: Battlefront,2004.0,Shooter,LucasArts,0.07,0.13,0.0,0.02,0.21,72.0,19.0,3.5,1509.0,EA DICE,T
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21,74.0,14.0,5.9,544.0,Ubisoft Quebec,M
Defiance,2013.0,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,64.0,40.0,6.5,661.0,Trion Worlds,M
EVE Online,2003.0,Role-Playing,CCP,0.0,0.19,0.0,0.01,0.2,69.0,22.0,7.5,280.0,CCP,T
"Warhammer 40,000: Space Marine",2011.0,Shooter,THQ,0.09,0.09,0.0,0.03,0.2,74.0,34.0,7.4,596.0,Relic,M
FIFA 16,2015.0,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0,EA Sports,E
Two Worlds II,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.02,0.2,76.0,31.0,6.5,315.0,Reality Pump,M
Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,75.0,40.0,7.9,1295.0,Techland,M
Total War: Shogun 2 - Fall of the Samurai,2012.0,Strategy,Sega,0.07,0.1,0.0,0.02,0.2,,,,,,
Shutter Island,2009.0,Adventure,Merscom LLC,0.0,0.17,0.0,0.03,0.2,,,,,Merscom LLC,T
Dead Space 3,,Action,Electronic Arts,0.02,0.16,0.0,0.02,0.19,78.0,16.0,6.0,1096.0,Visceral Games,M
Test Drive Unlimited 2,,Racing,Atari,0.05,0.11,0.0,0.03,0.19,72.0,19.0,5.7,253.0,Eden,T
Aliens vs Predator,2010.0,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,985.0,Rebellion,M
Mafia III,2016.0,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,63.0,29.0,3.2,881.0,Hangar 13,M
Supreme Commander 2,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19,77.0,54.0,6.2,803.0,Gas Powered Games,E10+
South Park: The Stick of Truth,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,85.0,48.0,8.6,1739.0,Obsidian Entertainment,M
NBA 2K11,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,82.0,6.0,8.6,37.0,Visual Concepts,E
Metro: Last Light,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,82.0,71.0,8.6,2654.0,4A Games,M
Evolve,2015.0,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,969.0,Turtle Rock Studios,M
Need for Speed: Shift 2 Unleashed,2011.0,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19,,,,,,
Tom Clancy's Splinter Cell: Blacklist,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,82.0,13.0,7.4,754.0,Ubisoft Toronto,M
F1 2011,2011.0,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19,83.0,10.0,7.2,83.0,Codemasters,E
Saints Row IV,2013.0,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,86.0,45.0,7.4,1543.0,Volition Inc.,M
Arcania: Gothic 4,2010.0,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19,63.0,25.0,4.4,307.0,Spellbound,T
The Lord of the Rings: War in the North,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19,66.0,21.0,7.1,289.0,Snowblind Studios,M
Driver: San Francisco,2011.0,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18,80.0,11.0,7.0,332.0,Ubisoft Reflections,T
Call of Duty: World at War,2008.0,Shooter,Activision,0.02,0.14,0.0,0.03,0.18,83.0,36.0,7.5,721.0,Treyarch,M
Company of Heroes: Anthology,2009.0,Strategy,THQ,0.0,0.15,0.0,0.03,0.18,,,,,,
Aliens: Colonial Marines,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40.0,3.5,1156.0,Gearbox Software,M
FIFA Soccer 11,2010.0,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18,83.0,16.0,7.7,102.0,EA Sports,E
Borderlands,2009.0,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.03,0.18,81.0,37.0,7.8,1363.0,Gearbox Software,M
Brink,2011.0,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03,0.18,70.0,38.0,6.0,547.0,Splash Damage,T
Dark Souls II,2014.0,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,36.0,7.1,2318.0,From Software,T
Dungeon Siege III,2011.0,Role-Playing,Square Enix,0.08,0.08,0.0,0.02,0.17,72.0,37.0,4.7,399.0,Obsidian Entertainment,T
The Secret World,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.02,0.17,74.0,55.0,8.2,1326.0,Funcom,M
Tom Clancy's Ghost Recon: Future Soldier,2012.0,Shooter,Ubisoft,0.05,0.1,0.0,0.02,0.17,71.0,13.0,4.9,368.0,Ubisoft Paris,M
Age of Empires III: Complete Collection,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,,,8.5,41.0,Microsoft Game Studios,T
Monkey Island: Special Edition Collection,2011.0,Adventure,LucasArts,0.0,0.14,0.0,0.03,0.17,,,,,,
Star Wars: Battlefront II,2005.0,Shooter,LucasArts,0.02,0.13,0.0,0.02,0.17,78.0,23.0,8.8,431.0,Pandemic Studios,T
LEGO Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.01,0.17,78.0,7.0,8.1,124.0,TT Games,E10+
Far Cry: Primal,2016.0,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,18.0,4.8,368.0,Ubisoft Montreal,M
Sid Meier's Civilization IV,2005.0,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.16,94.0,50.0,8.3,909.0,Firaxis Games,E10+
Stronghold 3,2011.0,Strategy,,0.06,0.1,0.0,0.0,0.16,47.0,29.0,3.0,350.0,FireFly Studios,T
The Crew,2014.0,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16,71.0,12.0,6.4,463.0,"Ubisoft Reflections, Ivory Tower",T
The Sims 3: Seasons,2012.0,Simulation,Electronic Arts,0.0,0.13,0.0,0.02,0.16,73.0,12.0,7.5,48.0,The Sims Studio,T
NBA 2K12,2011.0,Sports,Take-Two Interactive,0.09,0.05,0.0,0.02,0.16,86.0,5.0,7.1,66.0,Visual Concepts,E
Bulletstorm,2011.0,Shooter,Electronic Arts,0.07,0.07,0.0,0.02,0.16,82.0,34.0,7.7,768.0,"Epic Games, People Can Fly",M
Wildstar,2014.0,Role-Playing,NCSoft,0.08,0.07,0.0,0.01,0.16,82.0,52.0,7.4,965.0,Carbine Studios,T
Sniper: Ghost Warrior,2010.0,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16,55.0,23.0,5.5,267.0,City Interactive,M
F.E.A.R. 3,2011.0,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0.0,0.03,0.15,74.0,34.0,5.9,420.0,Day 1 Studios,M
Darksiders II,2012.0,Action,Nordic Games,0.03,0.1,0.0,0.02,0.15,81.0,23.0,7.8,653.0,Vigil Games,M
DiRT 3,2011.0,Racing,Codemasters,0.0,0.13,0.0,0.03,0.15,86.0,23.0,6.9,433.0,Codemasters,T
Darksiders,2010.0,Action,THQ,0.07,0.06,0.0,0.02,0.15,83.0,18.0,7.8,603.0,Vigil Games,M
The Sims Medieval: Pirates and Nobles,2011.0,Simulation,Electronic Arts,0.05,0.08,0.0,0.02,0.15,,,,,,
Deponia,2012.0,Adventure,Daedalic,0.0,0.13,0.0,0.02,0.15,74.0,33.0,8.2,307.0,Daedalic Entertainment,
F1 2012,2012.0,Racing,Codemasters,0.01,0.11,0.0,0.02,0.15,80.0,15.0,6.9,115.0,Codemasters,E
Terraria,2011.0,Action,Unknown,0.0,0.13,0.0,0.01,0.14,83.0,29.0,8.5,1613.0,Re-Logic,T
Alien: Isolation,2014.0,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M
Just Cause 3,2015.0,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,50.0,5.3,529.0,Avalanche Studios,M
ArmA II,2009.0,Shooter,505 Games,0.0,0.12,0.0,0.02,0.14,77.0,38.0,7.5,589.0,Bohemia Interactive,M
Cities: Skylines,2015.0,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,60.0,8.9,1404.0,Colossal Order,E
The Orange Box,2007.0,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14,96.0,34.0,9.3,1495.0,Valve Software,M
Star Wars: Knights of the Old Republic,2003.0,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14,93.0,33.0,9.0,1497.0,BioWare,T
Risen,2009.0,Role-Playing,Deep Silver,0.0,0.11,0.0,0.02,0.14,77.0,32.0,8.1,676.0,Piranha Bytes,M
The Darkness II,2012.0,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14,77.0,20.0,7.6,448.0,Digital Extremes,M
Age of Empires: Collector's Edition,2000.0,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,,,8.0,6.0,Ensemble Studios,T
Dragon Age: Origins - Ultimate Edition,2010.0,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02,0.14,,,,,,
Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14,71.0,31.0,3.8,773.0,Visceral Games,M
Dead Rising 2,2010.0,Action,Capcom,0.1,0.02,0.0,0.01,0.14,78.0,17.0,6.3,211.0,Blue Castle Games,M
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3.0,440.0,Infinity Ward,M
Red Orchestra 2: Heroes of Stalingrad,2011.0,Shooter,Tripwire Interactive,0.04,0.07,0.0,0.02,0.14,76.0,49.0,7.3,729.0,Tripwire Interactive,M
Dragon Age Origins: Awakening,2010.0,Role-Playing,Electronic Arts,0.01,0.1,0.0,0.02,0.13,,,,,,
Euro Truck Simulator 2,2012.0,Action,SCS Software,0.0,0.12,0.0,0.02,0.13,79.0,17.0,8.7,992.0,SCS Software,
Warcraft III: Reign of Chaos,2002.0,Strategy,Vivendi Games,0.03,0.09,0.0,0.02,0.13,92.0,40.0,9.1,1023.0,Blizzard Entertainment,T
Total War: WARHAMMER,2016.0,Strategy,Sega,0.0,0.12,0.0,0.01,0.13,86.0,77.0,7.3,556.0,Creative Assembly,T
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,14.0,2.5,1967.0,"Rocksteady Studios, Iron Galaxy Studios",M
Diablo II,2000.0,Role-Playing,Havas Interactive,0.01,0.1,0.0,0.02,0.13,88.0,34.0,8.8,1056.0,Blizzard North,M
Street Fighter IV,,Fighting,Capcom,0.07,0.05,0.0,0.02,0.13,91.0,23.0,8.0,352.0,Capcom,T
Farming Simulator 2011,2010.0,Simulation,,0.0,0.13,0.0,0.0,0.13,,,7.0,23.0,Giants Software,E
The Stronghold Collection,2009.0,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,,,,,Take-Two Interactive,T
Project CARS,2015.0,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,48.0,7.1,418.0,Slightly Mad Studios,E
Just Cause 2,2010.0,Action,Square Enix,0.0,0.1,0.0,0.02,0.12,84.0,33.0,7.7,838.0,Avalanche Studios,M
Sleeping Dogs,2012.0,Action,Square Enix ,0.06,0.05,0.0,0.01,0.12,81.0,23.0,8.2,1209.0,United Front Games,M
Rocksmith,,Misc,Unknown,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,Ubisoft,T
Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12,86.0,45.0,7.9,915.0,"Crystal Dynamics, Nixxes Software",M
Dishonored 2,2016.0,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,37.0,6.0,383.0,Arkane Studios,M
Alice: Madness Returns,2011.0,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M
Tropico 5,2014.0,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,51.0,7.0,351.0,Haemimont,T
FIFA 17,2016.0,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,12.0,4.2,160.0,"EA Sports, EA Vancouver",E
Darkspore,2011.0,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,0.12,65.0,52.0,6.0,133.0,Maxis,T
18 Wheels of Steel: Extreme Trucker 2,2011.0,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,,,8.3,10.0,ValuSoft,E
Lost Horizon,2010.0,Adventure,Deep Silver,0.0,0.1,0.0,0.02,0.11,77.0,24.0,7.9,27.0,Animation Arts,T
Call of Juarez: The Cartel,2011.0,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11,51.0,12.0,3.3,126.0,Ubisoft,M
Stronghold,2001.0,Strategy,Gathering of Developers,0.0,0.09,0.0,0.02,0.11,81.0,19.0,8.9,224.0,FireFly Studios,T
Machinarium,2009.0,Adventure,Daedalic,0.0,0.09,0.0,0.02,0.11,85.0,47.0,8.8,526.0,Amanita Design,
Sonic Generations,2011.0,Platform,Sega,0.02,0.07,0.0,0.02,0.11,77.0,11.0,8.3,337.0,Sega,E
[Prototype 2],2012.0,Action,Activision,0.07,0.03,0.0,0.01,0.11,76.0,12.0,6.4,389.0,Radical Entertainment,M
ArmA III,2013.0,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11,74.0,38.0,7.4,866.0,Bohemia Interactive,M
Tom Clancy's Splinter Cell: Conviction,2010.0,Action,Ubisoft,0.0,0.08,0.0,0.02,0.11,83.0,20.0,5.2,672.0,Ubisoft Montreal,M
Stronghold Kingdoms,2011.0,Strategy,DTP Entertainment,0.0,0.1,0.0,0.01,0.11,75.0,4.0,4.9,89.0,FireFly Studios,
The Book of Unwritten Tales,2009.0,Adventure,HMH Interactive,0.0,0.08,0.0,0.02,0.1,82.0,32.0,8.2,144.0,KING Art,T
Wasteland 2,2015.0,Role-Playing,inXile Entertainment,0.03,0.06,0.0,0.01,0.1,81.0,65.0,7.3,1170.0,InXile Entertainment,M
Pro Evolution Soccer 2014,2013.0,Action,Konami Digital Entertainment,0.0,0.1,0.0,0.01,0.1,74.0,9.0,4.4,239.0,Konami,E
Rome: Total War,2004.0,Strategy,Activision,0.0,0.09,0.0,0.02,0.1,92.0,58.0,9.1,1050.0,Creative Assembly,T
Doom 3,2004.0,Shooter,Activision,0.05,0.04,0.0,0.01,0.1,87.0,83.0,7.6,896.0,id Software,M
The Sims 4: City Living,2016.0,Simulation,Electronic Arts,0.02,0.08,0.0,0.01,0.1,77.0,10.0,5.7,30.0,Maxis,T
The Whispered World,2009.0,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1,70.0,41.0,7.6,77.0,Daedalic Entertainment,E
Harry Potter and the Deathly Hallows - Part 1,2010.0,Action,Electronic Arts,0.08,0.02,0.0,0.01,0.1,37.0,5.0,4.1,33.0,EA Bright Light,T
Thief (2014),2014.0,Action,Square Enix,0.0,0.09,0.0,0.01,0.1,,,,,,
"Warhammer 40,000: Dawn of War II - Chaos Rising",2010.0,Strategy,THQ,0.08,0.01,0.0,0.01,0.1,,,,,,
NBA 2K16,2015.0,Sports,Take-Two Interactive,0.03,0.06,0.0,0.01,0.1,,,5.7,65.0,2K Sports,E10+
Harry Potter and the Deathly Hallows - Part 2,2011.0,Action,Electronic Arts,0.05,0.04,0.0,0.01,0.1,43.0,12.0,5.0,56.0,,
F1 2014,2014.0,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,20.0,4.8,65.0,Codemasters Birmingham,E
Skylanders: Spyro's Adventure,2011.0,Action,Activision,0.05,0.03,0.0,0.01,0.1,,,3.5,15.0,Toys for Bob,E10+
Medieval II: Total War,2006.0,Strategy,Sega,0.0,0.08,0.0,0.02,0.1,88.0,39.0,8.9,648.0,Creative Assembly,T
Dungeons,2011.0,Strategy,Kalypso Media,0.07,0.02,0.0,0.01,0.09,65.0,35.0,4.6,106.0,Realmforge Studios,M
Burnout Paradise: The Ultimate Box,2009.0,Racing,Electronic Arts,0.0,0.08,0.0,0.01,0.09,87.0,26.0,7.5,435.0,Criterion Games,E10+
Age of Empires II: The Age of Kings,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92.0,21.0,9.0,801.0,Ensemble Studios,T
Halo 2,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.09,72.0,32.0,5.6,216.0,Microsoft Game Studios,M
Angry Birds: Rio,2011.0,Puzzle,Focus Home Interactive,0.0,0.07,0.0,0.02,0.09,,,,,"Rovio Mobile, Rovio Entertainment",E
Minecraft: Story Mode,2015.0,Adventure,Mojang,0.02,0.06,0.0,0.01,0.09,,,,,,
Ghostbusters: The Video Game (DS Version),2010.0,Action,Take-Two Interactive,0.0,0.08,0.0,0.01,0.09,,,,,,
Football Manager 2017,2016.0,Simulation,Sega,0.0,0.09,0.0,0.01,0.09,81.0,41.0,4.3,57.0,Sports Interactive,E
Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.02,0.09,77.0,13.0,6.4,88.0,Konami,
Star Wars: Empire at War - Gold Pack,2007.0,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.09,,,,,,
Black & White 2,2005.0,Strategy,Electronic Arts,0.01,0.07,0.0,0.01,0.09,,,,,,
Might & Magic Heroes VII,2015.0,Strategy,Ubisoft,0.0,0.08,0.0,0.0,0.09,,,,,,
Wolfenstein: The Old Blood,2015.0,Action,Bethesda Softworks,0.0,0.08,0.0,0.0,0.09,76.0,30.0,7.6,338.0,MachineGames,M
Crysis: Maximum Edition,2009.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,0.09,,,8.2,11.0,Electronic Arts,M
Risen 3: Titan Lords,2014.0,Role-Playing,Deep Silver,0.0,0.08,0.0,0.0,0.09,65.0,49.0,5.7,822.0,Piranha Bytes,M
Red Faction: Armageddon,2011.0,Shooter,THQ,0.05,0.02,0.0,0.01,0.09,75.0,29.0,6.7,273.0,Volition Inc.,M
The Sims 2: Apartment Life,2008.0,Simulation,Electronic Arts,0.0,0.07,0.0,0.01,0.09,75.0,10.0,7.7,19.0,Electronic Arts,T
Age of Mythology,2002.0,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89.0,31.0,8.9,484.0,Ensemble Studios,T
RollerCoaster Tycoon 3: Platinum,2005.0,Strategy,Atari,0.01,0.06,0.0,0.01,0.09,,,,,,
Counter-Strike: Source,2004.0,Shooter,Vivendi Games,0.0,0.07,0.0,0.02,0.08,88.0,9.0,8.9,9851.0,Valve Software,M
Gray Matter,2011.0,Adventure,DTP Entertainment,0.02,0.05,0.0,0.01,0.08,72.0,27.0,7.7,80.0,Wizarbox,T
Star Wars: Empire at War,2006.0,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.08,79.0,45.0,8.4,240.0,Petroglyph,T
Bejeweled 3,2010.0,Puzzle,PopCap Games,0.02,0.05,0.0,0.01,0.08,82.0,27.0,8.1,86.0,PopCap,E
Edna & Harvey: Harvey's New Eyes,2011.0,Adventure,Rondomedia,0.0,0.07,0.0,0.01,0.08,,,,,,
Pro Evolution Soccer 2013,2012.0,Sports,Konami Digital Entertainment,0.0,0.07,0.0,0.01,0.08,80.0,8.0,6.9,182.0,Konami,E
Wildlife Park 3,2011.0,Simulation,bitComposer Games,0.0,0.07,0.0,0.01,0.08,,,,,B-Alive,
Battleborn,2016.0,Shooter,Take-Two Interactive,0.04,0.04,0.0,0.01,0.08,69.0,34.0,6.9,400.0,Gearbox Software,T
Battlefield 2,2005.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.01,0.08,91.0,55.0,8.4,837.0,Digital Illusions,T
Titanfall 2,2016.0,Shooter,Electronic Arts,0.03,0.04,0.0,0.01,0.08,85.0,27.0,8.0,488.0,Respawn Entertainment,M
Major League Baseball 2K11,2011.0,Sports,Take-Two Interactive,0.06,0.01,0.0,0.01,0.08,74.0,5.0,5.9,16.0,Visual Concepts,E
The Sims 3: Fast Lane Stuff,2010.0,Simulation,Electronic Arts,0.01,0.05,0.0,0.02,0.08,,,5.4,14.0,The Sims Studio,T
Sniper: Ghost Warrior 2,2013.0,Shooter,City Interactive,0.02,0.05,0.0,0.01,0.08,52.0,24.0,5.8,320.0,City Interactive,M
"Warhammer 40,000: Dawn of War II - Retribution",2011.0,Strategy,THQ,0.0,0.06,0.0,0.02,0.08,80.0,52.0,7.8,235.0,Relic,M
The Sims 2: Ikea Home Stuff,2008.0,Simulation,Electronic Arts,0.0,0.07,0.0,0.01,0.08,,,,,Electronic Arts,T
The First Templar,2011.0,Action,Kalypso Media,0.06,0.01,0.0,0.01,0.08,57.0,19.0,5.8,60.0,Haemimont,T
Game of Thrones,2012.0,Role-Playing,Focus Home Interactive,0.0,0.07,0.0,0.01,0.08,58.0,23.0,6.5,345.0,"Cyanide, Cyanide Studios",M
Assassin's Creed: Rogue,2015.0,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,74.0,25.0,7.5,362.0,Ubisoft,M
Tomb Raider: Underworld,2008.0,Action,Eidos Interactive,0.0,0.06,0.0,0.01,0.08,80.0,20.0,7.7,272.0,Nixxes Software,T
X Rebirth,2013.0,Simulation,Koch Media,0.0,0.08,0.0,0.0,0.08,33.0,24.0,3.3,1340.0,Egosoft,T
Silent Hunter III,2005.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,90.0,23.0,7.9,95.0,Ubisoft,T
The Sims 3: Barnacle Bay,2011.0,Simulation,Electronic Arts,0.07,0.0,0.0,0.01,0.08,,,6.7,9.0,Maxis,T
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08,91.0,13.0,7.7,1963.0,Kojima Productions,M
Serious Sam 3: BFE,2011.0,Shooter,Mastertronic,0.01,0.05,0.0,0.01,0.08,72.0,53.0,8.2,586.0,Croteam,
Need For Speed: Undercover,2008.0,Racing,Electronic Arts,0.0,0.07,0.0,0.01,0.08,65.0,18.0,4.9,231.0,EA Black Box,T
Need for Speed: Most Wanted,2012.0,Racing,Electronic Arts,0.0,0.06,0.0,0.02,0.08,82.0,19.0,8.5,525.0,Black Box,T
Rayman Origins,2012.0,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08,86.0,11.0,8.4,337.0,UBlart Montpellier,E10+
Need for Speed Underground 2,2004.0,Racing,Electronic Arts,0.0,0.06,0.0,0.01,0.07,82.0,31.0,8.5,407.0,EA Canada,T
Torchlight,2009.0,Role-Playing,JoWood Productions,0.0,0.06,0.0,0.01,0.07,83.0,57.0,8.0,794.0,Runic Games,T
F.E.A.R. 2: Project Origin,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.02,0.05,0.0,0.01,0.07,79.0,49.0,7.8,520.0,Monolith Productions,M
The Lord of the Rings: The Battle for Middle-Earth,2004.0,Strategy,Electronic Arts,0.01,0.06,0.0,0.01,0.07,82.0,42.0,8.6,199.0,EA LA,T
Divinity II: Ego Draconis,2009.0,Role-Playing,DTP Entertainment,0.01,0.05,0.0,0.01,0.07,72.0,43.0,7.7,125.0,Larian Studios,M
Emergency 2012,2010.0,Simulation,Deep Silver,0.02,0.04,0.0,0.01,0.07,61.0,9.0,6.2,12.0,ValuSoft,T
Hearts of Iron III,2009.0,Strategy,Paradox Interactive,0.02,0.04,0.0,0.01,0.07,77.0,23.0,7.1,233.0,Paradox Development Studio,E10+
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,0.0,0.07,0.0,0.0,0.07,89.0,56.0,8.6,1848.0,From Software,M
Pro Farm 1,2011.0,Simulation,Excalibur Publishing,0.0,0.06,0.0,0.01,0.07,,,,,,
Dead Island: Riptide,,Action,Deep Silver,0.0,0.07,0.0,0.01,0.07,61.0,35.0,6.0,441.0,Techland,M
Kane & Lynch 2: Dog Days,2010.0,Shooter,Square Enix,0.0,0.06,0.0,0.01,0.07,,,,,,
SimCity 4: Deluxe Edition,2003.0,Simulation,Electronic Arts,0.0,0.06,0.0,0.01,0.07,,,8.3,37.0,Maxis,E
